patch	status	files_total	files_missing	hunks	hunks_failed	detail
extra/ungoogled-chromium/disable-dial-repeating-discovery.patch	CLEAN	1	0	2	0	
extra/ungoogled-chromium/remove-uneeded-ui.patch	CLEAN	29	0	40	0	
extra/ungoogled-chromium/add-flag-to-close-window-with-last-tab.patch	CLEAN	3	0	5	0	
extra/ungoogled-chromium/add-flag-to-convert-popups-to-tabs.patch	CLEAN	3	0	5	0	
extra/ungoogled-chromium/add-flag-to-disable-local-history-expiration.patch	CLEAN	2	0	4	0	
extra/ungoogled-chromium/add-extra-channel-info.patch	CLEAN	1	0	1	0	
extra/ungoogled-chromium/prepopulated-search-engines.patch	CLEAN	1	0	1	0	
extra/ungoogled-chromium/fix-distilled-icons.patch	CLEAN	1	0	1	0	
extra/ungoogled-chromium/add-flag-to-clear-data-on-exit.patch	CLEAN	4	0	7	0	
extra/ungoogled-chromium/add-flag-for-tabsearch-button.patch	CLEAN	5	0	7	0	
extra/ungoogled-chromium/add-flag-for-qr-generator.patch	CLEAN	4	0	5	0	
extra/ungoogled-chromium/add-flag-for-grab-handle.patch	CLEAN	2	0	2	0	
extra/ungoogled-chromium/add-flag-for-close-confirmation.patch	CLEAN	4	0	11	0	
extra/ungoogled-chromium/keep-expired-flags.patch	CLEAN	1	0	3	0	
extra/ungoogled-chromium/add-flag-for-custom-ntp.patch	CLEAN	3	0	4	0	
extra/ungoogled-chromium/add-flag-for-tab-hover-cards.patch	CLEAN	5	0	7	0	
extra/ungoogled-chromium/add-flag-to-hide-tab-close-buttons.patch	CLEAN	2	0	3	0	
extra/ungoogled-chromium/add-flag-to-disable-tls-grease.patch	CLEAN	2	0	3	0	
extra/ungoogled-chromium/add-flag-to-change-http-accept-header.patch	CLEAN	3	0	5	0	
extra/ungoogled-chromium/add-flag-to-disable-sharing-hub.patch	CLEAN	2	0	3	0	
extra/ungoogled-chromium/add-flag-for-disabling-link-drag.patch	CLEAN	5	0	7	0	
extra/ungoogled-chromium/add-flag-to-hide-extensions-menu.patch	CLEAN	2	0	5	0	
extra/ungoogled-chromium/add-flag-to-hide-fullscreen-exit-ui.patch	CLEAN	3	0	3	0	
extra/ungoogled-chromium/add-flag-for-incognito-themes.patch	CLEAN	3	0	4	0	
extra/ungoogled-chromium/add-flags-for-referrer-customization.patch	CLEAN	11	2	17	0	
